dateTime;country;total_cases;new_cases;total_deaths;new_deaths;total_recovered;active_cases;critical_cases;cases_per_million;deaths_per_million
2020-03-30T11:03:17.953545;Spain;85195;5085;7340;537;16780;61075;5231;1822;157
2020-03-30T11:03:17.953545;Germany;62435;0;541;0;9211;52683;1979;745;6
2020-03-30T11:03:17.953545;Iran;41495;3186;2757;117;13911;24827;3511;494;33
2020-03-30T11:03:17.953545;France;40174;0;2606;0;7202;30366;4632;615;40
2020-03-30T11:03:17.953545;UK;19522;0;1228;0;135;18159;163;288;18
2020-03-30T11:03:17.953545;Switzerland;15069;240;312;12;1823;12934;301;1741;36
2020-03-30T11:03:17.953545;Belgium;11899;1063;513;82;1527;9859;927;1027;44
2020-03-30T11:03:17.953545;Netherlands;10866;0;771;0;250;9845;972;634;45
2020-03-30T11:03:17.953545;S. Korea;9661;78;158;6;5228;4275;59;188;3
2020-03-30T11:03:17.953545;Turkey;9217;0;131;0;105;8981;568;109;2
2020-03-30T11:03:17.953545;Austria;9103;315;108;22;636;8359;193;1011;12
2020-03-30T11:03:17.953545;Canada;6320;0;65;0;573;5682;120;167;2
2020-03-30T11:03:17.953545;Portugal;5962;0;119;0;43;5800;89;585;12
2020-03-30T11:03:17.953545;Israel;4347;100;16;1;134;4197;80;502;2
2020-03-30T11:03:17.953545;Norway;4313;29;29;3;7;4277;91;796;5
2020-03-30T11:03:17.953545;Brazil;4256;0;136;0;6;4114;296;20;6
2020-03-30T11:03:17.953545;Australia;4245;82;18;1;244;3983;28;166;7
2020-03-30T11:03:17.953545;Sweden;3700;0;110;0;16;3574;281;366;11
2020-03-30T11:03:17.953545;Czechia;2859;42;17;1;11;2831;52;267;2
2020-03-30T11:03:17.953545;Malaysia;2626;156;37;2;479;2110;94;81;1
2020-03-30T11:03:17.953545;Ireland;2615;0;46;0;5;2564;59;530;9
2020-03-30T11:03:17.953545;Denmark;2555;160;72;0;1;2482;113;441;12
2020-03-30T11:03:17.953545;Chile;2139;0;7;0;75;2057;7;112;4
2020-03-30T11:03:17.953545;Romania;1952;137;44;1;206;1702;31;101;2
2020-03-30T11:03:17.953545;Luxembourg;1950;0;21;0;40;1889;25;3115;34
2020-03-30T11:03:17.953545;Ecuador;1924;0;58;0;3;1863;58;109;3
2020-03-30T11:03:17.953545;Poland;1905;43;26;4;7;1872;3;50;7
2020-03-30T11:03:17.953545;Japan;1866;0;54;0;424;1388;56;15;4
2020-03-30T11:03:17.953545;Russia;1836;302;9;1;66;1761;8;13;6
2020-03-30T11:03:17.953545;Pakistan;1625;28;18;4;29;1578;11;7;8
2020-03-30T11:03:17.953545;Philippines;1546;128;78;7;42;1426;1;14;7
2020-03-30T11:03:17.953545;Thailand;1524;136;9;2;229;1286;11;22;1
2020-03-30T11:03:17.953545;Indonesia;1414;129;122;8;75;1217;0;5;4
2020-03-30T11:03:17.953545;Finland;1343;103;11;0;10;1322;32;242;2
2020-03-30T11:03:17.953545;Saudi Arabia;1299;0;8;0;66;1225;12;37;2
2020-03-30T11:03:17.953545;South Africa;1280;0;2;0;31;1247;7;22;3
2020-03-30T11:03:17.953545;Greece;1156;0;39;0;52;1065;66;111;4
2020-03-30T11:03:17.953545;India;1071;47;29;2;100;942;0;8;2
2020-03-30T11:03:17.953545;Iceland;1020;0;2;0;135;883;25;2989;6
2020-03-30T11:03:17.953545;Mexico;993;145;20;4;35;938;1;8;2
2020-03-30T11:03:17.953545;Panama;989;0;24;0;4;961;36;229;6
2020-03-30T11:03:17.953545;Dominican Republic;859;0;39;0;3;817;0;79;4
2020-03-30T11:03:17.953545;Peru;852;0;18;0;16;818;40;26;5
2020-03-30T11:03:17.953545;Singapore;844;0;3;0;212;629;19;144;5
2020-03-30T11:03:17.953545;Argentina;820;0;20;0;91;709;0;18;4
2020-03-30T11:03:17.953545;Slovenia;756;26;11;0;10;735;28;364;5
2020-03-30T11:03:17.953545;Serbia;741;0;14;1;42;685;25;85;2
2020-03-30T11:03:17.953545;Croatia;715;2;6;0;55;654;26;174;1
2020-03-30T11:03:17.953545;Estonia;715;36;3;0;20;692;10;539;2
2020-03-30T11:03:17.953545;Diamond Princess;712;0;10;0;603;99;15;0;0
2020-03-30T11:03:17.953545;Colombia;702;0;10;0;10;682;29;14;2
2020-03-30T11:03:17.953545;Hong Kong;642;0;4;0;118;520;5;86;5
2020-03-30T11:03:17.953545;Qatar;634;0;1;0;48;585;6;220;3
2020-03-30T11:03:17.953545;Egypt;609;0;40;0;132;437;0;6;4
2020-03-30T11:03:17.953545;New Zealand;589;75;1;0;63;525;2;122;2
2020-03-30T11:03:17.953545;UAE;570;0;3;0;58;509;2;58;3
2020-03-30T11:03:17.953545;Iraq;547;0;42;0;143;362;0;14;1
2020-03-30T11:03:17.953545;Morocco;516;37;27;1;13;476;1;14;7
2020-03-30T11:03:17.953545;Bahrain;515;16;4;0;279;232;2;303;2
2020-03-30T11:03:17.953545;Algeria;511;0;31;0;31;449;0;12;7
2020-03-30T11:03:17.953545;Lithuania;484;24;7;0;1;476;2;178;3
2020-03-30T11:03:17.953545;Armenia;482;58;3;0;30;449;15;163;1
2020-03-30T11:03:17.953545;Ukraine;480;5;11;1;6;463;0;11;3
2020-03-30T21:30:51.715042;USA;159689;16198;2951;368;5220;151518;3402;482;9
2020-03-30T21:30:51.715042;Italy;101739;4050;11591;812;14620;75528;3981;1683;192
2020-03-30T21:30:51.715042;Spain;87956;7846;7716;913;16780;63460;5231;1881;165
2020-03-30T21:30:51.715042;Germany;66711;4276;645;104;13500;52566;1979;796;8
2020-03-30T21:30:51.715042;France;44550;4376;3024;418;7927;33599;5056;683;46
2020-03-30T21:30:51.715042;Iran;41495;3186;2757;117;13911;24827;3511;494;33
2020-03-30T21:30:51.715042;UK;22141;2619;1408;180;135;20598;163;326;21
2020-03-30T21:30:51.715042;Switzerland;15760;931;348;48;1823;13589;301;1821;40
2020-03-30T21:30:51.715042;Belgium;11899;1063;513;82;1527;9859;927;1027;44
2020-03-30T21:30:51.715042;Netherlands;11750;884;864;93;250;10636;1053;686;50
2020-03-30T21:30:51.715042;Turkey;10827;1610;168;37;162;10497;568;128;2
2020-03-30T21:30:51.715042;S. Korea;9661;78;158;6;5228;4275;59;188;3
2020-03-30T21:30:51.715042;Austria;9597;809;108;22;636;8853;193;1066;12
2020-03-30T21:30:51.715042;Canada;7427;1107;84;19;1093;6250;120;197;2
2020-03-30T21:30:51.715042;Portugal;6408;446;140;21;43;6225;164;628;14
2020-03-30T21:30:51.715042;Israel;4695;448;16;1;134;4545;66;542;2
2020-03-30T21:30:51.715042;Brazil;4579;323;159;23;120;4300;296;22;7
2020-03-30T21:30:51.715042;Norway;4445;161;32;6;12;4401;97;820;6
2020-03-30T21:30:51.715042;Australia;4245;82;18;1;244;3983;28;166;7
2020-03-30T21:30:51.715042;Sweden;4028;328;146;36;16;3866;306;399;14
2020-03-30T21:30:51.715042;Czechia;2976;159;23;7;25;2928;52;278;2
2020-03-30T21:30:51.715042;Ireland;2910;295;54;8;5;2851;84;589;11
2020-03-30T21:30:51.715042;Malaysia;2626;156;37;2;479;2110;94;81;1
2020-03-30T21:30:51.715042;Denmark;2577;182;77;5;1;2499;137;445;13
2020-03-30T21:30:51.715042;Chile;2449;310;8;1;156;2285;14;128;4
2020-03-30T21:30:51.715042;Romania;2109;294;65;22;209;1835;33;110;3
2020-03-30T21:30:51.715042;Poland;2055;193;31;9;7;2017;3;54;8
2020-03-30T21:30:51.715042;Luxembourg;1988;38;22;1;40;1926;25;3176;35
2020-03-30T21:30:51.715042;Ecuador;1962;38;60;2;3;1899;58;111;3
2020-03-30T21:30:51.715042;Japan;1866;0;54;0;424;1388;56;15;4
2020-03-30T21:30:51.715042;Russia;1836;302;9;1;66;1761;8;13;6
2020-03-30T21:30:51.715042;Pakistan;1717;120;21;7;76;1620;11;8;10
2020-03-30T21:30:51.715042;Philippines;1546;128;78;7;42;1426;1;14;7
2020-03-30T21:30:51.715042;Thailand;1524;136;9;2;229;1286;11;22;1
2020-03-30T21:30:51.715042;Saudi Arabia;1453;154;8;0;115;1330;12;42;2
2020-03-30T21:30:51.715042;Indonesia;1414;129;122;8;75;1217;0;5;4
2020-03-30T21:30:51.715042;Finland;1352;112;13;2;10;1329;49;244;2
2020-03-30T21:30:51.715042;South Africa;1326;46;3;1;31;1292;7;22;5
2020-03-30T21:30:51.715042;India;1251;227;32;5;102;1117;0;9;2
2020-03-30T21:30:51.715042;Greece;1212;56;43;4;52;1117;72;116;4
2020-03-30T21:30:51.715042;Iceland;1086;66;2;0;157;927;25;3182;6
